code;Company name;Company registered name;Exhibition ID;Project name;Booth;Stand_no;Exhibition area;Exhibited products;T1;Exhibition start time;Exhibition end time;Service type;tag;T1;T2;T3;International station link;Clerk;Region;Province;City;District;Customer service;Matching pre registered buyers-tag;Matching pre registered VIP buyers-tag;Matching pre registered bill buyers-tag;Matching pre registered intended buyers-tag;Matching pre registered contacted buyers-tag;Matching pre registered buyers-T1;Matching pre registered intended buyers-T1
S19012708;;PT. Pet World Indonesia;152683595067;2025????????????????;1;B1A107;;????????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19012720;;PT. Aman Indah Makmur;152683595067;2025????????????????;1;B1A116;;???????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19012756;;PT. Pionir Visual Indonesia;152683595067;2025????????????????;12;D2A055,D2G101,D2H101,D2K105,D2K107;;LED?;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19012756;;PT. Pionir Visual Indonesia;152683595067;2025????????????????;2;D2A055,D2G101,D2H101,D2K105,D2K107;;LED?;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19012756;;PT. Pionir Visual Indonesia;152683595067;2025????????????????;2;D2A055,D2G101,D2H101,D2K105,D2K107;;LED?;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19012756;;PT. Pionir Visual Indonesia;152683595067;2025????????????????;4,33;D2A055,D2G101,D2H101,D2K105,D2K107;;LED?;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19012756;;PT. Pionir Visual Indonesia;152683595067;2025????????????????;12;D2A055,D2G101,D2H101,D2K105,D2K107;;LED?;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19012792;;PT. Hua Cheng Plastindo;152683595067;2025????????????????;1;A2D103;Homelife;??/???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19013032;;??????????????;152683595067;2025????????????????;1;C1B202;;???;Sports;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;??????;???;???;????;???;;;;;;;
S19013116;;?????????????;152683595067;2025????????????????;1;B3B203;Building Materials;PVC?????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;;;;;;???;????;???;???;???;??;;;;;;;
S19013308;;??????????????;152683595067;2025????????????????;2;B2I203;;??;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;??;????;???;???;???;??;;;;;;;
S19013332;;???????????;152683595067;2025????????????????;1;C1B203;;??????;Sports;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;??????;???;???;???;???;;;;;;;
S19013476;;PT. Mahugi Jaya Sejahtera;152683595067;2025????????????????;2;C2H211;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19013512;;Buybuygo;152683595067;2025????????????????;1;A2G210;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;Siti Qosiah;?????Project Management Department;??;??;??;???;;;;;;;
S19013896;;?????????????;152683595067;2025????????????????;1;B1B202;;??????;Pet;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;??;????;???;???;???;??;;;;;;;
S19014304;;?????????????;152683595067;2025????????????????;2;A3A110;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S19014796;;?????????????;152683595067;2025????????????????;2;C1A113;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;??;;;;;;;
S19014844;;?????????????;152683595067;2025????????????????;1;;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;??????;???;???;???;??;;;;;;;
S19015264;;??????????????;152683595067;2025????????????????;1;;;???;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;;;;;;???;????;???;???;???;??;;;;;;;
S19015792;;???????????;152683595067;2025????????????????;2;;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;;;;;;???;????;???;???;???;???;;;;;;;
S10005580;Changshu Xiahong Textile Co., Ltd.;?????????????;152683595067;2025????????????????;2;C2J205;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;Textile Machine Parts;Industrial Machinery;Apparel & Textile Machinery;Weaving Machinery;https://www.tradechina.com/supplier/Changshu-Xiahong-Textile-Co-Ltd_100005590421.html;???;????;???;???;???;??;5;2;2;0;0;432;0
S10010401;Haian Haitian Threads Co., Ltd.;??????????;152683595067;2025????????????????;1;A1A220;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Polypropylene Yarn|Polyester Fiber;Textiles & Garments;Fabric & Textile Raw Material;Yarn|Fiber;https://www.tradechina.com/supplier/Haian-Haitian-Threads-Co-Ltd_100019077740.html;??3;????;???;???;???;???;7;1;5;0;0;891;2
S10014840;Zhejiang Jiakang Stainless Steel Product Co., Ltd.;?????????????;152683595067;2025????????????????;1;A1C212;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Ice Cube|Water Bottles|Cocktail Shakers|Tanks|Stainless Steel Tableware|Drinking Cup|Mugs| Glass Water Bottles & Insulated Tumblers;Homelife;Home & Garden;Dinnerware, Coffee & Wine|Drinkware & Accessories;https://www.tradechina.com/supplier/Zhejiang-Jiakang-Stainless-Steel-Product-Co-Ltd_100024430661.html;???;????;???;???;???;???;82;12;13;0;0;1.630;2
S10015662;"Yingtan Asta Industry & Trade Co.,Ltd			";????????????;152683595067;2025????????????????;1;A1D203;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Eyes Care|Eyeglasses Frames|Sunglasses|Reading Glasses|Eyeglasses Cases & Bags|Eyeglasses Lenses;Homelife;Beauty|Jewelry, Eyewear, Watches & Accessories;Skin Care & Tools?facial?|Eyewear|Eyewear Accessories;https://www.tradechina.com/supplier/Yingtan-Asta-Industry-Trade-Co-Ltd_100025372573.html;???;????;???;???;???;???;20;1;6;0;0;516;1
S10016942;Hangzhou Joyplus Co., Ltd;???????????;152683595067;2025????????????????;1;A3D208;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Lint Rollers & Brushes|Waste Bins|Disposable Gloves|Cleaning Brushes|Brooms & Dustpans|Mops|Cleaning Cloths|Wiper|Sponges & Scouring Pads|Household Gloves;Homelife;Home & Garden;Household Cleaning Tools & Accessories;https://www.tradechina.com/supplier/Hangzhou-Joyplus-Co-Ltd_100027118737.html;??;????;???;???;???;???;27;1;11;0;0;1.630;2
S10020541;Zhejiang lingqi industry and trade co. LTD;??????????;152683595067;2025????????????????;2;A1D210;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Space Mug|Mugs| Glass Water Bottles & Insulated Tumblers|Sports Bottles;Homelife;Home & Garden|Sports & Entertainment;Dinnerware, Coffee & Wine|Drinkware & Accessories|Fitness & Body Building;https://www.tradechina.com/supplier/Zhejiang-lingqi-industry-and-trade-co-LTD_100043793798.html;???;????;???;???;???;???;49;7;6;0;0;1.868;2
S10020571;Guangdong Nanz Technology Co., Ltd.;????????????;152683595067;2025????????????????;1;A3D111;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Pickles|Dried Chili|Mixed Spices & Seasonings|Hot Pot Condiments|Sugar|Chilli Sauce|Sauce|Food Additives|Seafood Condiment;Food;Food & Beverage;Seasonings & Condiments|Food Ingredients;https://www.tradechina.com/supplier/Guangdong-Nanz-Technology-Co-Ltd_100043938140.html;??;????;???;???;???;???;101;12;25;0;0;779;0
S10020640;ZHEJIANG YABAO NON-WOVEN FABRICS PRODUCTS CO.,LTD;?????????????;152683595067;2025????????????????;1;A2A212;Homelife;????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Packaging Bags|Clothing Protective Bag|Handbags|Gift Wrapping Paper|Promotional Bag|Grow Bags|Luggage & Bag Fabric|Melt-Blown Fabric|Nonwoven Fabric;Homelife|Textiles & Garments;Beauty|Luggage, Bags & Cases|Packaging Supplies|Home & Garden|Fabric & Textile Raw Material;Mini Size & Gift Sets|Everyday Bags & Luggage|Packaging Auxiliary Materials|Garden Supplies|Fabric;https://www.tradechina.com/supplier/ZHEJIANG-YABAO-NON-WOVEN-FABRICS-PRODUCTS-CO-LTD_100044141638.html;???;????;???;???;???;???;66;14;20;0;0;3.138;4
S10021786;RayBoard Technology&Development Co.,Ltd.;????????????;152683595067;2025????????????????;1;C3R103;;??????;Furniture & Decoration;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Plastic Film|Traction Pad|Tablecloths|PVC Advertising Film|Cold Laminating Film|Decorative Films|Floor Film;Homelife|Textiles & Garments|Building Materials;Packaging Supplies|Sports & Entertainment|Home Textiles|Construction & Real Estate;Plastic Packaging|Water Sports|Cushions|Building Material Accessories|Building Boards|Masonry Materials;https://www.tradechina.com/supplier/RayBoard-Technology-Development-Co-Ltd_100051831424.html;???;????;???;???;???;???;34;5;13;0;0;2.268;4
S10022411;TONGLU LYA COSMETICS CO., LTD;???????????;152683595067;2025????????????????;1;A2A219;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Face Shields|Perfume|Medical Masks|Sanitizer|Other Medical Consumables|Hand Sanitizer;Building Materials|Homelife|Other;Safety|Beauty|Medical devices & Supplies|Home & Garden;Personal Protective Equipment|Perfume & Fragrance|Medical Consumables|Household Cleaning Tools & Accessories;https://www.tradechina.com/supplier/TONGLU-LYA-COSMETICS-CO-LTD_100054006326.html;???;????;???;???;???;???;36;5;12;0;0;2.309;3
S10028967;HangZhou LaiEn Electrical Equipment Co.,Ltd;??????????;152683595067;2025????????????????;1;D1B215;Home Appliances;?????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Wire And Cable Insulation Materials|Connecting Terminal|Cable Ties|Instrumentation Cables|Wiring Harness|Control Cables|Electrical Wires|Communication Cables|Power Cable;New Energy;Electrical Equipment & Supplies|Electronic Components, Accessories & Telecommunications;Wires, Cables & Cable Assemblies|Connectors, Terminals & Accessories|Wiring Accessories|Telecommunications;https://www.tradechina.com/supplier/HangZhou-LaiEn-Electrical-Equipment-Co-Ltd_100144943265.html;???;????;???;???;???;???;12;1;8;0;0;325;1
S10029161;HANGZHOU CHUANGMEI INDUSTRY CO.,LTD;??????????;152683595067;2025????????????????;1;D1H209;3C;????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Communication Cables|Circuit Breakers;New Energy;Electronic Components, Accessories & Telecommunications;Telecommunications|Circuit Protection;https://www.tradechina.com/supplier/HANGZHOU-CHUANGMEI-INDUSTRY-CO-LTD_100145338918.html;???;????;???;???;???;???;8;0;4;0;0;188;0
S10029825;NanTong QianQianHui Need Chemical Co.,LTD;???????????;152683595067;2025????????????????;1;A2A220;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Menthol Balm|Face Cream & Lotion|Cooling Oil|Body Lotion|Baby's Masage Oil;Homelife|Baby Children & Maternity;Beauty|Personal Care & Household Cleaning|Maternity & Baby Products;Skin Care & Tools?facial?|Pest Control Products|Body Care|Baby Care;https://www.tradechina.com/supplier/NanTong-QianQianHui-Need-Chemical-Co-LTD_100147486368.html;???;????;???;???;???;???;39;5;14;0;0;852;3
S10034701;Zhe Jiang Xuecun Equipment Co.Ltd.;????????????;152683595067;2025????????????????;2;D1C101,D1C201;Home Appliances;??;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Commercial Catering Equipment|Industrial Freezer|Freezing Equipment|Cold Room Storage|Commercial Refrigerator|Kitchen Machines|Industrial Cold Room;Industrial Machinery;Commercial Equipment & Machinery|Compressors, Refrigeration & Heating Equipment;Hotel & Catering Equipment|Refrigeration Equipment;https://www.tradechina.com/supplier/Zhe-Jiang-Xuecun-Equipment-Co-Ltd_100154517927.html;???;????;???;???;???;???;26;1;5;0;0;256;1
S10034701;Zhe Jiang Xuecun Equipment Co.Ltd.;????????????;152683595067;2025????????????????;2;D1C101,D1C201;Home Appliances;??;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Commercial Catering Equipment|Industrial Freezer|Freezing Equipment|Cold Room Storage|Commercial Refrigerator|Kitchen Machines|Industrial Cold Room;Industrial Machinery;Commercial Equipment & Machinery|Compressors, Refrigeration & Heating Equipment;Hotel & Catering Equipment|Refrigeration Equipment;https://www.tradechina.com/supplier/Zhe-Jiang-Xuecun-Equipment-Co-Ltd_100154517927.html;???;????;???;???;???;???;26;1;5;0;0;256;1
S10039823;Taizhou Huangyan Shuangyou Commodity Co., Ltd.;??????????????;152683595067;2025????????????????;1;D1A10;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Buckets|Waste Bins|Cleaning Brushes|Storage Boxes & Bins|Brooms & Dustpans|Dusters|Wiper|Mops;Homelife;Home & Garden;Household Cleaning Tools & Accessories|Home Storage & Organization;https://www.tradechina.com/supplier/Taizhou-Huangyan-Shuangyou-Commodity-Co-Ltd_100188191382.html;??;????;???;???;???;???;23;1;5;0;0;1.630;2
S10041311;Hangzhou Liangpu Recreation Products Co.,Ltd;????????????;152683595067;2025????????????????;6;B2J107;;??-??????;Sports;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;Sun Shelter|Camping Chair|Other Tent;Homelife;Sports & Entertainment;Camping & Hiking;https://www.tradechina.com/supplier/Hangzhou-Liangpu-Recreation-Products-Co-Ltd_100265725595.html;??;????;???;???;???;???;11;2;4;0;0;294;0
S10042060;Jiangxi Baicao Pharmaceutical Co.,Ltd;??????????;152683595067;2025????????????????;1;A1D212;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Essential Oil;Homelife;Personal Care & Household Cleaning;Body Care;https://www.tradechina.com/supplier/Jiangxi-Baicao-Pharmaceutical-Co-Ltd_100268187704.html;???;????;???;???;???;??;14;3;4;0;0;284;1
S10045362;Zhejiang Hanxin Cookware Co., Ltd.  ;??????????;152683595067;2025????????????????;1;A1C211;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Pans|Soup & Stock Pots|Cookware Sets;Homelife;Home & Garden;Kitchenware;https://www.tradechina.com/supplier/Zhejiang-Hanxin-Cookware-Co-Ltd_100278283766.html;??;????;???;???;???;???;62;5;13;0;0;1.630;2
S10047205;EVERISE FITNESS CO.,LTD;???????????;152683595067;2025????????????????;2;D1A13;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Handstand|Home Gym Systems|Stair Steppers|Ab Roller Wheels|sit up push ups|Treadmills|Trampolines|Outdoor Fitness Equipment;Homelife;Sports & Entertainment;Fitness & Body Building;https://www.tradechina.com/supplier/EVERISE-FITNESS-CO-LTD_100310915983.html;???;????;???;???;???;???;15;3;6;0;0;294;0
S10050242;Wenzhou Yuze Technology Co.,ltd;??????????;152683595067;2025????????????????;1;A2D213;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Luggage & Bag Fabric|Nonwoven Fabric;Textiles & Garments;Fabric & Textile Raw Material;Fabric;https://www.tradechina.com/supplier/Wenzhou-Yuze-Technology-Co-ltd_100385974957.html;???;????;???;???;???;??;13;3;5;0;0;891;2
S10051681;ENPING AODA ELECTRONIC TECHNOLOGY CO., LTD.;?????????????;152683595067;2025????????????????;2;D2D213;;??;Pro AV & Light & Music;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Megaphones|Professional Audio,Video & Lighting;Homelife|Electronics & Appliances;Sports & Entertainment|Consumer Electronics;Ball Sports Equipments|Smart Electronics;https://www.tradechina.com/supplier/ENPING-AODA-ELECTRONIC-TECHNOLOGY-CO-LTD_100407025983.html;???;????;???;???;???;??;26;4;9;0;0;815;2
S15053476;NINGBOXIANGSHUPACKAGINGCO.,LTD;??????????;152683595067;2025????????????????;2;A2B110;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Spray Bottle|Other Medical Consumables|Cosmetic Puffs|Disinfection Hand Sanitizer|Wash-free Hand Sanitizers|Alcohol Pad & Swab|Other Healthcare Supply|Face Cream & Lotion;Homelife|Other;Beauty|Medical devices & Supplies|Personal Care & Household Cleaning|Household Healthcare Products;Makeup & Tools|Medical Consumables|Special Household Cleaning|Health Care Equipment|Skin Care & Tools?facial?;https://www.tradechina.com/supplier/NINGBOXIANGSHUPACKAGINGCO-LTD_150513219508.html;???;????;???;???;???;??;75;15;24;0;0;995;3
S15055684;Yuyao Duolai electric co.,ltd;???????????;152683595067;2025????????????????;2;D1H201;3C;?????????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Electrical Wires|Power Cords & Extension Cords|Plugs & Sockets;New Energy;Electrical Equipment & Supplies;Wires, Cables & Cable Assemblies|Electrical Supplies;https://www.tradechina.com/supplier/Yuyao-Duolai-electric-co-ltd_150531237868.html;???;????;???;???;???;??;5;0;2;0;0;166;1
S15571684;EZ CHEMICAL CO.,LTD;??????????;152683595067;2025????????????????;1;A3C211;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Other Medical Consumables|Feed Additives|Inorganic Salts;Other;Medical devices & Supplies|Chemicals;Medical Consumables|Admixture & Additives|Inorganic Chemicals;https://www.tradechina.com/supplier/EZ-CHEMICAL-CO-LTD_152496649952.html;??;????;???;???;???;???;177;7;17;0;0;559;1
S15605044;Guangzhou Huantong Industry Co., Ltd.;???????????;152683595067;2025????????????????;2;C3L108;Building Materials;????;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Bath & Shower Faucets;Building Materials;Construction & Real Estate;Bathroom & Kitchen;https://www.tradechina.com/supplier/Guangzhou-Huantong-Industry-Co-Ltd_152531268790.html;???;????;???;???;???;???;47;10;15;0;0;1.419;3
S15605764;Shenzhen Ramsta Semiconductor Technology Co., LTD;??????????????;152683595067;2025????????????????;1;D1A48;3C;????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Hard Disk|Computer Cases & Towers|RAMs;Electronics & Appliances;Computers;Computer Hardware & Software;https://www.tradechina.com/supplier/Shenzhen-Ramsta-Semiconductor-Technology-Co-LTD_152531807055.html;??;????;???;???;???;??;35;4;11;0;0;344;1
S15708724;Wenzhou Charmhome Electronic Technology Co.,Ltd;????????????;152683595067;2025????????????????;0;D1C210;Home Appliances;??????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Nose & Ear Trimmer|Electric Toothbrush|Electric Dental Flosser|Toothbrushes Head;Electronics & Appliances;Beauty Appliances;Personal Care & Beauty Appliances;https://www.tradechina.com/supplier/Wenzhou-Charmhome-Electronic-Technology-Co-Ltd_152553539159.html;???;????;???;???;???;???;6;0;4;0;0;151;0
S15708724;Wenzhou Charmhome Electronic Technology Co.,Ltd;????????????;152683595067;2025????????????????;1;D1C210;Home Appliances;??????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;AI?????;Nose & Ear Trimmer|Electric Toothbrush|Electric Dental Flosser|Toothbrushes Head;Electronics & Appliances;Beauty Appliances;Personal Care & Beauty Appliances;https://www.tradechina.com/supplier/Wenzhou-Charmhome-Electronic-Technology-Co-Ltd_152553539159.html;???;????;???;???;???;???;6;0;4;0;0;151;0
S15888004;NINGBO SOURCE E-BUSINESS CO., LTD;????????????;152683595067;2025????????????????;2;B3L204;Building Materials;??;Building Materials;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;Shower Head|Sanitary Ware Suite|Bidet|Towel Racks;Building Materials;Construction & Real Estate;Bathroom & Kitchen;https://www.tradechina.com/supplier/NINGBO-SOURCE-E-BUSINESS-CO-LTD_152568921991.html;???;????;???;???;???;??;9;3;3;0;0;1.419;3
S15895444;FOSHAN HYSAMI OPTOELECTRONICS TECHNOLOGY CO.LIMITED;??????????????;152683595067;2025????????????????;2;D1H213;3C;??????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???; LED Headlights| LED Taillights| LED Fog/Daytime Running Lamps (DRL)|Turn Signals|Car Jump Starter|Wheel Light|Automotive Warning Light|Auto Lighting Accessories;Industrial Machinery;Vehicle & Transportation Parts;Auto Lighting Systems|General Vehicle Components;https://www.tradechina.com/supplier/FOSHAN-HYSAMI-OPTOELECTRONICS-TECHNOLOGY-CO-LIMITED_152569270697.html;???;????;???;???;???;???;34;12;12;0;0;752;4
S16012324;JIANGSU HONGFENG THREAD TECHNOLOGY CO.,LTD;????????????;152683595067;2025????????????????;1;C1F111;;????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Organic Yarn|Spinning Thread|Sewing Threads;Textiles & Garments;Fabric & Textile Raw Material|Apparel & Accessories;Yarn|Garment & Processing Accessories;https://www.tradechina.com/supplier/JIANGSU-HONGFENG-THREAD-TECHNOLOGY-CO-LTD_152577406760.html;??;????;???;???;???;???;8;2;6;0;0;1.614;2
S16036324;shaoxing haorui textile co.,ltd;???????????;152683595067;2025????????????????;1;C2H111;;???????;Textiles & Garments;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Curtain Poles, Tracks & Accessories|Curtains|Sofa Slipcovers;Homelife|Textiles & Garments;Home & Garden|Home Textiles;Home Decor|Other Home Textiles|Cushions;https://www.tradechina.com/supplier/shaoxing-haorui-textile-co-ltd_152578985784.html;???;????;???;???;???;???;42;0;3;0;0;1.883;2
S16153924;GuangZhou Riston Cosmetics Manufacturing Co., LTD;??????????????;152683595067;2025????????????????;1;A2B203;Homelife;???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Other Skin Care Products|Eye Cream|Massage Cream/Gel/Other|Sunscreen Cream|T-zone Toner|Facial Cleanser|Face Cream & Lotion;Homelife;Beauty|Personal Care & Household Cleaning;Skin Care & Tools?facial?|Body Care;https://www.tradechina.com/supplier/GuangZhou-Riston-Cosmetics-Manufacturing-Co-LTD_152586611755.html;???;????;???;???;???;???;57;6;18;0;0;640;2
S16161124;Suzhou Etag-Technology Corporation;?????????????;152683595067;2025????????????????;2;B2J105;;????;Retail;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Cargo & Storage Equipment|Advertising Boards|Billboards|Supermarket Shelves|WiFi Finders|Network Transmission Equipment;Industrial Machinery|Furniture & Decoration|New Energy|Electronics & Appliances;Logistics Technology & Transportation Systems|Commercial Equipment|Electronic Components, Accessories & Telecommunications|Consumer Electronics;Mechanical Handling Equipment|Advertising Display Equipment|Commercial Furniture|Telecommunications|Smart Electronics;https://www.tradechina.com/supplier/Suzhou-Etag-Technology-Corporation_152587106075.html;???;??????;???;???;???;??;65;15;19;0;0;1.776;3
S16230244;Zhejiang Credrink Technology Co., Ltd.;??????????;152683595067;2025????????????????;1;A1D110;Homelife;????/???;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Tanks|Tea Cups & Saucers|Red wine Glass|Drinking Cup|Water Bottles|Coolers & Chillers|Mugs| Glass Water Bottles & Insulated Tumblers|Sippy Cups|Pet Bowl;Homelife|Baby Children & Maternity|Pet;Home & Garden|Toys & Education|Pet Supplies & Pet;Dinnerware, Coffee & Wine|Drinkware & Accessories|Baby Supplies & Products|Pet Tableware;https://www.tradechina.com/supplier/Zhejiang-Credrink-Technology-Co-Ltd_152590363607.html;???;????;???;???;???;??;73;9;9;0;0;2.132;3
S16386724;ZHEJIANG RUIHENG HOUSEHOLD PRODUCTS CO.,LTD;????????????;152683595067;2025????????????????;1;A3A103;Homelife;?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Milk Pan|Woks|Soup & Stock Pots|Bakeware Sets|Pans|Cookware Sets|Baking & Pastry Tools|Roasting Pans;Homelife;Home & Garden;Kitchenware;https://www.tradechina.com/supplier/ZHEJIANG-RUIHENG-HOUSEHOLD-PRODUCTS-CO-LTD_152594547303.html;???;????;???;???;???;???;126;18;25;0;0;1.630;2
S16695604;HUNAN UNITED TEA CO., LTD;??????????;152683595067;2025????????????????;1;A3B111;Homelife;??;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;O2O?;Blooming Tea|Green Tea|Bubble Tea Ingredients|Dark Tea|White Tea|Oolong Tea|Yellow Tea|Pu'Er Tea|Black Tea|Tea Drinks;Food;Food & Beverage;Beverages|Food Ingredients;https://www.tradechina.com/supplier/HUNAN-UNITED-TEA-CO-LTD_152608965790.html;???;????;???;???;???;???;63;9;14;0;0;779;0
S16765216;Baiyang Industry Area,Wuyi Jinhua City, Zhejiang Province,China ;??????????;152683595067;2025????????????????;1;A3A203;Homelife;?;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Pans|Cookware Sets|Soup & Stock Pots|Milk Pan|Roasting Pans|Bakeware Sets|Woks;Homelife;Home & Garden;Kitchenware;https://www.tradechina.com/supplier/Baiyang-Industry-Area-Wuyi-Jinhua-City-Zhejiang-Province-China_152613833583.html;???;????;???;???;???;???;101;14;22;0;0;1.630;2
S16775524;ZHEJIANG WENWU SOFT-PACKING TECHNOLOGY CO.,LTD.;???????????????;152683595067;2025????????????????;2;D1A15;Homelife;?????;Homelife;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Storage Boxes & Bins;Homelife;Home & Garden;Home Storage & Organization;https://www.tradechina.com/supplier/ZHEJIANG-WENWU-SOFT-PACKING-TECHNOLOGY-CO-LTD_152614551429.html;??;????;???;???;???;???;4;1;1;0;0;1.630;2
S16811284;Taizhou Weiye Electrical Co., Ltd;??????????;152683595067;2025????????????????;1;D1C113;Home Appliances;????;Electronics & Appliances;2025-11-26 00:00:00;2025-11-29 00:00:00;???;Power Cords & Extension Cords|Fan Parts|LED Ceiling Fans|Household Ultrasonic Cleaners|Electric Fan|Ceiling Fans|Shoe Dryer|Portable & Wearable Fans;New Energy|Electronics & Appliances|Furniture & Decoration;Electrical Equipment & Supplies|Home Appliances|Lights & Lighting;Electrical Supplies|Home Appliance Parts|Indoor Lighting|Cleaning Appliances|Heating & Cooling Appliances;https://www.tradechina.com/supplier/Taizhou-Weiye-Electrical-Co-Ltd_152615467339.html;???;????;???;???;???;??;45;4;11;0;0;1.544;5
